Node ID  | Type   | CC0          | CC1          | CO          
--------------------------------------------------------------
1        | PI     | 1            | 1            | 6           
8        | PI     | 1            | 1            | 6           
13       | PI     | 1            | 1            | 6           
17       | PI     | 1            | 1            | 6           
26       | PI     | 1            | 1            | 6           
29       | PI     | 1            | 1            | 4           
36       | PI     | 1            | 1            | 4           
42       | PI     | 1            | 1            | 4           
51       | PI     | 1            | 1            | 6           
55       | PI     | 1            | 1            | 10          
59       | PI     | 1            | 1            | 5           
68       | PI     | 1            | 1            | 10          
72       | PI     | 1            | 1            | 33          
73       | PI     | 1            | 1            | 33          
74       | PI     | 1            | 1            | 11          
75       | PI     | 1            | 1            | 4           
80       | PI     | 1            | 1            | 4           
85       | PI     | 1            | 1            | 3           
86       | PI     | 1            | 1            | 3           
87       | PI     | 1            | 1            | 5           
88       | PI     | 1            | 1            | 5           
89       | PI     | 1            | 1            | 5           
90       | PI     | 1            | 1            | 4           
91       | PI     | 1            | 1            | 19          
96       | PI     | 1            | 1            | 19          
101      | PI     | 1            | 1            | 19          
106      | PI     | 1            | 1            | 19          
111      | PI     | 1            | 1            | 21          
116      | PI     | 1            | 1            | 21          
121      | PI     | 1            | 1            | 21          
126      | PI     | 1            | 1            | 38          
130      | PI     | 1            | 1            | 30          
135      | PI     | 1            | 1            | 30          
138      | PI     | 1            | 1            | 31          
143      | PI     | 1            | 1            | 29          
146      | PI     | 1            | 1            | 31          
149      | PI     | 1            | 1            | 31          
152      | PI     | 1            | 1            | 31          
153      | PI     | 1            | 1            | 31          
156      | PI     | 1            | 1            | 40          
159      | PI     | 1            | 1            | 26          
165      | PI     | 1            | 1            | 26          
171      | PI     | 1            | 1            | 26          
177      | PI     | 1            | 1            | 26          
183      | PI     | 1            | 1            | 27          
189      | PI     | 1            | 1            | 29          
195      | PI     | 1            | 1            | 29          
201      | PI     | 1            | 1            | 29          
207      | PI     | 1            | 1            | 30          
210      | PI     | 1            | 1            | 19          
219      | PI     | 1            | 1            | 25          
228      | PI     | 1            | 1            | 23          
237      | PI     | 1            | 1            | 26          
246      | PI     | 1            | 1            | 23          
255      | PI     | 1            | 1            | 21          
259      | PI     | 1            | 1            | 21          
260      | PI     | 1            | 1            | 21          
261      | PI     | 1            | 1            | 30          
267      | PI     | 1            | 1            | 21          
268      | PI     | 1            | 1            | 21          
269      | NAND   | 5            | 2            | 2           
270      | NAND   | 5            | 2            | 4           
273      | AND    | 2            | 4            | 7           
276      | AND    | 2            | 4            | 3           
279      | NAND   | 5            | 2            | 36          
280      | NAND   | 5            | 2            | 6           
284      | NAND   | 5            | 2            | 29          
285      | NAND   | 3            | 2            | 8           
286      | NAND   | 4            | 2            | 8           
287      | AND    | 2            | 4            | 37          
290      | AND    | 2            | 4            | 1           
291      | AND    | 2            | 4            | 1           
292      | AND    | 2            | 4            | 1           
293      | AND    | 2            | 4            | 2           
294      | AND    | 2            | 4            | 39          
295      | AND    | 2            | 4            | 2           
296      | AND    | 2            | 4            | 2           
297      | AND    | 2            | 3            | 1           
298      | OR     | 3            | 2            | 3           
301      | NAND   | 3            | 2            | 36          
302      | OR     | 3            | 2            | 36          
303      | NAND   | 3            | 2            | 36          
304      | OR     | 3            | 2            | 36          
305      | NAND   | 3            | 2            | 36          
306      | OR     | 3            | 2            | 36          
307      | NAND   | 3            | 2            | 36          
308      | OR     | 3            | 2            | 36          
309      | AND    | 2            | 3            | 29          
310      | NOT    | 2            | 2            | 20          
316      | AND    | 2            | 3            | 29          
317      | AND    | 2            | 3            | 29          
318      | AND    | 2            | 3            | 29          
319      | NAND   | 3            | 2            | 38          
322      | NOR    | 2            | 3            | 45 [TOP]    ~static[0]
323      | AND    | 2            | 3            | 45 [TOP]    
324      | NAND   | 3            | 2            | 36          
325      | OR     | 3            | 2            | 36          
326      | NAND   | 3            | 2            | 36          
327      | OR     | 3            | 2            | 36          
328      | NAND   | 3            | 2            | 36          
329      | OR     | 3            | 2            | 36          
330      | NAND   | 3            | 2            | 36          
331      | OR     | 3            | 2            | 36          
332      | AND    | 2            | 3            | 17          
333      | AND    | 2            | 3            | 17          
334      | AND    | 2            | 3            | 17          
335      | AND    | 2            | 3            | 17          
336      | AND    | 2            | 3            | 19          
337      | AND    | 2            | 3            | 19          
338      | AND    | 2            | 3            | 19          
339      | AND    | 2            | 3            | 19          
340      | AND    | 2            | 3            | 19          
341      | AND    | 2            | 3            | 19          
342      | NOT    | 3            | 6            | 1           
343      | NOT    | 5            | 3            | 7           
344      | OR     | 8            | 3            | 1           
345      | NOT    | 5            | 3            | 35          
346      | NOT    | 5            | 3            | 2           
347      | NOT    | 3            | 6            | 35          
348      | NOR    | 3            | 11           | 23          
349      | OR     | 9            | 3            | 2           
350      | OR     | 10           | 3            | 2           
351      | NOT    | 5            | 3            | 1           
352      | NOT    | 5            | 3            | 38          
353      | NOT    | 5            | 3            | 1           
354      | NOT    | 5            | 3            | 1           
355      | NAND   | 4            | 2            | 2           
356      | AND    | 2            | 4            | 1           
357      | NAND   | 5            | 4            | 33          
360      | NAND   | 5            | 4            | 33          
363      | NAND   | 5            | 4            | 33          
366      | NAND   | 5            | 4            | 33          
369      | NOT    | 3            | 3            | 19          
375      | NOR    | 4            | 5            | 42          
376      | NAND   | 5            | 4            | 33          
