Node ID  | Type   | CC0          | CC1          | CO          
--------------------------------------------------------------
1        | PI     | 1            | 1            | 40          
13       | PI     | 1            | 1            | 41          
20       | PI     | 1            | 1            | 41          
33       | PI     | 1            | 1            | 51          
41       | PI     | 1            | 1            | 47          
45       | PI     | 1            | 1            | 44          
50       | PI     | 1            | 1            | 10          
58       | PI     | 1            | 1            | 10          
68       | PI     | 1            | 1            | 10          
77       | PI     | 1            | 1            | 10          
87       | PI     | 1            | 1            | 5           
97       | PI     | 1            | 1            | 7           
107      | PI     | 1            | 1            | 7           
116      | PI     | 1            | 1            | 50          
124      | PI     | 1            | 1            | 94          
125      | PI     | 1            | 1            | 87          
128      | PI     | 1            | 1            | 85          
132      | PI     | 1            | 1            | 86          
137      | PI     | 1            | 1            | 87          
143      | PI     | 1            | 1            | 88          
150      | PI     | 1            | 1            | 84          
159      | PI     | 1            | 1            | 85          
169      | PI     | 1            | 1            | 55          
179      | PI     | 1            | 1            | 66          
190      | PI     | 1            | 1            | 87          
200      | PI     | 1            | 1            | 85          
213      | PI     | 1            | 1            | 36          
222      | PI     | 1            | 1            | 82          
223      | PI     | 1            | 1            | 84          
226      | PI     | 1            | 1            | 52          
232      | PI     | 1            | 1            | 52          
238      | PI     | 1            | 1            | 52          
244      | PI     | 1            | 1            | 52          
250      | PI     | 1            | 1            | 42          
257      | PI     | 1            | 1            | 43          
264      | PI     | 1            | 1            | 43          
270      | PI     | 1            | 1            | 52          
274      | PI     | 1            | 1            | 75          
283      | PI     | 1            | 1            | 90          
294      | PI     | 1            | 1            | 81          
303      | PI     | 1            | 1            | 107         
311      | PI     | 1            | 1            | 118         
317      | PI     | 1            | 1            | 128         
322      | PI     | 1            | 1            | 127         
326      | PI     | 1            | 1            | 126         
329      | PI     | 1            | 1            | 128         
330      | PI     | 1            | 1            | 89          
343      | PI     | 1            | 1            | 72          
349      | PI     | 1            | 1            | 81          
350      | PI     | 1            | 1            | 340         
655      | BUFF   | 2            | 2            | 43          
665      | NOT    | 2            | 2            | 44          
670      | BUFF   | 2            | 2            | 51          
679      | NOT    | 2            | 2            | 45          
683      | BUFF   | 2            | 2            | 44          
686      | NOT    | 2            | 2            | 45          
690      | BUFF   | 2            | 2            | 51          
699      | BUFF   | 2            | 2            | 53          
702      | NOT    | 2            | 2            | 9           
706      | BUFF   | 2            | 2            | 51          
715      | BUFF   | 2            | 2            | 51          
724      | NOT    | 2            | 2            | 100         
727      | BUFF   | 2            | 2            | 51          
736      | NOT    | 2            | 2            | 6           
740      | BUFF   | 2            | 2            | 51          
749      | NOT    | 2            | 2            | 6           
753      | BUFF   | 2            | 2            | 49          
763      | NOT    | 2            | 2            | 49          
768      | OR     | 3            | 2            | 41          
769      | NOT    | 2            | 2            | 71          
772      | BUFF   | 2            | 2            | 40          
779      | NOT    | 2            | 2            | 74          
782      | BUFF   | 2            | 2            | 41          
786      | NOT    | 2            | 2            | 40          
793      | AND    | 2            | 3            | 73          
794      | NOT    | 2            | 2            | 43          
798      | BUFF   | 2            | 2            | 40          
803      | NOT    | 2            | 2            | 79          
820      | NOT    | 2            | 2            | 81          
821      | BUFF   | 2            | 2            | 70          
825      | NOT    | 2            | 2            | 50          
829      | AND    | 2            | 3            | 76          
832      | NOT    | 2            | 2            | 46          
835      | OR     | 3            | 2            | 74          
836      | BUFF   | 2            | 2            | 75          
839      | NOT    | 2            | 2            | 117         
842      | NOT    | 2            | 2            | 9           
845      | BUFF   | 2            | 2            | 83          
848      | NOT    | 2            | 2            | 9           
851      | BUFF   | 2            | 2            | 95          
854      | NOT    | 2            | 2            | 9           
858      | BUFF   | 2            | 2            | 81          
861      | NOT    | 2            | 2            | 49          
